company_name,apr_26_aum_pct_raw,apr_26_aum_pct_num,apr_26_shares_raw,apr_26_shares_num,apr_26_arrow,mar_26_aum_pct_raw,mar_26_aum_pct_num,mar_26_shares_raw,mar_26_shares_num,mar_26_arrow,feb_26_aum_pct_raw,feb_26_aum_pct_num,feb_26_shares_raw,feb_26_shares_num,feb_26_arrow,jan_26_aum_pct_raw,jan_26_aum_pct_num,jan_26_shares_raw,jan_26_shares_num,jan_26_arrow
HDFC BANK LTD.,3.99,3.99,"3,61,65,750",36165750,down,5.65,5.65,"5,17,94,600",51794600,down,6.93,6.93,"5,56,05,000",55605000,up,5.73,5.73,"4,43,48,700",44348700,flat/none
ICICI BANK LTD.,2.94,2.94,"1,62,50,500",16250500,up,2.80,2.8,"1,55,57,500",15557500,up,2.90,2.9,"1,49,87,000",14987000,up,2.46,2.46,"1,30,48,000",13048000,flat/none
AXIS BANK LTD.,2.15,2.15,"1,18,65,625",11865625,down,2.26,2.26,"1,30,83,750",13083750,up,1.47,1.47,"75,74,375",7574375,up,1.40,1.4,"73,30,000",7330000,flat/none
KOTAK MAHINDRA BANK LTD.,2.14,2.14,"3,89,68,000",38968000,up,1.84,1.84,"3,49,10,000",34910000,up,1.58,1.58,"2,70,42,000",27042000,down,1.66,1.66,"2,92,44,000",29244000,flat/none
BHARTI AIRTEL LTD.,1.67,1.67,"61,94,950",6194950,up,1.33,1.33,"50,22,650",5022650,down,1.80,1.8,"68,20,525",6820525,up,1.52,1.52,"55,70,848",5570848,flat/none
JSW Steel Ltd.,1.62,1.62,"89,64,675",8964675,down,1.57,1.57,"93,75,075",9375075,down,1.99,1.99,"1,12,13,775",11213775,up,1.77,1.77,"1,04,89,500",10489500,flat/none
STATE BANK OF INDIA.,1.57,1.57,"1,02,66,750",10266750,up,1.41,1.41,"96,45,000",9645000,up,0.49,0.49,"29,03,250",2903250,up,0.15,0.15,"10,28,250",1028250,flat/none
Vodafone Idea Ltd,1.48,1.48,"1,01,61,60,075",1016160075,up,1.27,1.27,"1,00,06,50,000",1000650000,down,1.51,1.51,"1,01,69,46,300",1016946300,up,1.54,1.54,"99,39,31,350",993931350,flat/none
RELIANCE INDUSTRIES LTD.,1.42,1.42,"69,56,000",6956000,down,1.56,1.56,"78,04,000",7804000,down,2.50,2.5,"1,27,95,500",12795500,down,2.68,2.68,"1,38,18,500",13818500,flat/none
SUN PHARMACEUTICAL INDUSTRIES LTD.,1.31,1.31,"50,67,300",5067300,up,0.31,0.31,"11,89,650",1189650,down,0.97,0.97,"39,79,150",3979150,down,1.06,1.06,"48,00,600",4800600,flat/none
ITC Ltd.,1.27,1.27,"2,82,32,075",28232075,up,1.15,1.15,"2,67,31,200",26731200,down,1.29,1.29,"2,93,84,000",29384000,down,1.83,1.83,"4,08,38,400",40838400,flat/none
NTPC LTD,1.20,1.2,"2,10,30,000",21030000,up,0.76,0.76,"1,37,89,500",13789500,down,1.01,1.01,"1,88,76,000",18876000,up,0.43,0.43,"87,37,500",8737500,flat/none
Grasim Industries Ltd.,1.17,1.17,"29,23,250",2923250,up,0.73,0.73,"19,07,500",1907500,down,1.15,1.15,"29,37,250",2937250,up,1.06,1.06,"26,99,500",2699500,flat/none
JIO FINANCIAL SERVICES LTD,1.17,1.17,"3,30,78,600",33078600,up,0.72,0.72,"2,15,37,750",21537750,down,0.83,0.83,"2,32,55,600",23255600,down,0.84,0.84,"2,37,82,000",23782000,flat/none
CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LTD.,0.97,0.97,"43,42,500",4342500,down,0.92,0.92,"45,71,875",4571875,up,0.98,0.98,"40,48,125",4048125,up,0.58,0.58,"25,47,500",2547500,flat/none
Mahindra & Mahindra Ltd.,0.97,0.97,"21,80,600",2180600,down,1.13,1.13,"25,69,800",2569800,up,0.73,0.73,"15,36,200",1536200,down,1.25,1.25,"26,22,200",2622200,flat/none
Bharat Electronics Ltd.,0.95,0.95,"1,54,09,950",15409950,up,0.55,0.55,"92,92,425",9292425,up,0.16,0.16,"25,10,850",2510850,down,1.03,1.03,"1,65,64,200",16564200,flat/none
