Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
30-MAR-2026,20762.35,20889.25,20490.45,20528.05,3579355980,119590.94
27-MAR-2026,21357.35,21364.35,21007.15,21020.15,3575019852,124670.65
25-MAR-2026,21236.25,21612.45,21236.05,21478.2,2925095886,100598.56
24-MAR-2026,21045.45,21183.15,20743.9,21067,2828911371,96794.53
23-MAR-2026,21079.6,21090.05,20611.8,20664.25,3136334245,94234.36
20-MAR-2026,21349.95,21558,21294.85,21327.9,3700506920,115395.22
19-MAR-2026,21466.4,21562.8,21156.2,21225.8,3292655287,89031.7
18-MAR-2026,21721.45,21990.4,21713.4,21917.4,2895708648,84557.62
17-MAR-2026,21585.05,21729.65,21446.15,21669.3,2515334886,85757.14
16-MAR-2026,21355.95,21593.25,21110,21498.8,3217472081,103510.19
13-MAR-2026,21763.25,21780.75,21351.1,21391.2,3113976706,98794.27
12-MAR-2026,21888.4,22059.6,21703.9,21897.5,3026504909,103260.8
11-MAR-2026,22351.85,22440.9,22009.3,22042.3,2361131997,87457.1
10-MAR-2026,22310.8,22385.65,22141.85,22342.95,2389165402,90255.97
09-MAR-2026,21995.15,22090.7,21743.15,22056.55,2556919036,91453.39
06-MAR-2026,22621.55,22701.6,22456.45,22481.3,2320196889,90474.68
05-MAR-2026,22536.75,22760.85,22468.2,22697.8,2706766863,100527.72
04-MAR-2026,22438,22517.4,22283.15,22409.8,3229119573,112282.36
02-MAR-2026,22547,22992.35,22539.65,22835.95,2888282145,102343.66
27-FEB-2026,23423.95,23433.55,23136.75,23166.85,3688575577,123584.22
26-FEB-2026,23462.05,23502.95,23340.75,23448.5,2553657052,87471.02
25-FEB-2026,23388.45,23500.1,23325.9,23403.8,2267944113,86603.47
24-FEB-2026,23418.1,23418.1,23168.05,23304.6,2535000225,88111.46
23-FEB-2026,23493.3,23566.85,23394.25,23484.95,2631703098,76333.94
20-FEB-2026,23252.75,23467.4,23221.15,23395,1795939131,73020.52
19-FEB-2026,23691.6,23697.9,23235.35,23297.45,1859154610,74385.35
18-FEB-2026,23571.5,23657.75,23490.35,23645.8,2002069721,71283.32
17-FEB-2026,23445.3,23563.25,23394.8,23540.05,2021475691,71836.39
16-FEB-2026,23248.55,23487.35,23190.2,23472.45,1870081916,66783.52
13-FEB-2026,23448.7,23464.05,23285,23313.15,2227481447,94711.1
12-FEB-2026,23753.8,23753.8,23589.05,23651.55,2269373786,90067.83
11-FEB-2026,23808.1,23811.15,23707.15,23783.05,2636812373,85819.48
10-FEB-2026,23752.6,23796.4,23691.5,23753.75,2366549899,92767.36
09-FEB-2026,23600.85,23693.05,23535.4,23683.4,2727014602,86849.99
06-FEB-2026,23366.5,23447,23211.4,23434,2281330748,84985.49
05-FEB-2026,23509.75,23509.95,23337.35,23411.7,2511176041,84315.42
04-FEB-2026,23414.1,23562.7,23284.45,23534.95,2891821213,99872.34
03-FEB-2026,23870.2,23912.35,23355.5,23446.3,3833568757,134446.7
02-FEB-2026,22595.45,22869.7,22408.5,22837,2701638490,94471.03
01-FEB-2026,23067.5,23160.1,22337.3,22611.3,2763739018,94014.67
30-JAN-2026,22994.3,23110.2,22916,23079.5,4157027368,119533.57
29-JAN-2026,23107.5,23158.6,22922.6,23134.8,3420325244,118344.5
28-JAN-2026,22899.6,23101.75,22884.5,23082.1,2978398505,105358.36
27-JAN-2026,22752.7,22886.95,22562.95,22819.25,2998178455,111580.76
23-JAN-2026,23072.3,23073.35,22679.7,22706.2,2468758298,85893.6
22-JAN-2026,23013.45,23144.55,22888.5,23008.75,2492411717,87635.23
21-JAN-2026,22864.5,22981.8,22586.8,22835.15,3504392687,95123.55
20-JAN-2026,23365.65,23368.15,22888.65,22946.65,3041011603,87191.3
19-JAN-2026,23443.3,23443.35,23324.85,23373.75,2722038438,83263.34
16-JAN-2026,23502.85,23652.7,23455.5,23485.3,2936679815,95044.95
14-JAN-2026,23422.1,23558.7,23399.9,23475.85,2735985365,84496.83
13-JAN-2026,23603.45,23627.05,23336.05,23480.65,2794307318,77163.65
12-JAN-2026,23459.4,23533.45,23199.5,23510.45,3129313561,77628.47
09-JAN-2026,23646.75,23741.75,23407.7,23467.35,4459908928,83657.03
08-JAN-2026,23996.2,24010.45,23657.35,23680.1,2749321338,79202.12
07-JAN-2026,23995.85,24050.55,23942.25,24016.6,2265878328,79968.48
06-JAN-2026,24042.9,24089.75,23941.4,24010.5,2680293138,83790.81
05-JAN-2026,24123.1,24144.2,23999.15,24058.45,3139430638,78123.63
02-JAN-2026,23935.95,24107.7,23921.45,24099,3709759369,76298.98
01-JAN-2026,23914.65,23925.55,23835.55,23909.55,4549066214,61090.24
31-DEC-2025,23710.45,23921.45,23709.55,23871.55,5274274084,72500.25
30-DEC-2025,23675.3,23704.2,23599.9,23668.8,3358226298,117206.42
29-DEC-2025,23804.4,23826.75,23660.3,23682.1,2424578413,71269.63
26-DEC-2025,23841.95,23885.35,23752.55,23780.25,2226444927,58956.34
24-DEC-2025,23903.1,23956.8,23836.55,23850.25,1966164763,58656.48
23-DEC-2025,23906.1,23929.25,23825.15,23895.15,2603971855,62760.36
22-DEC-2025,23760.95,23878.65,23743.25,23867.65,2515529008,68528.7
19-DEC-2025,23562.65,23688.35,23548.95,23677.55,3169592583,88374.73
18-DEC-2025,23469.8,23553.25,23363.5,23491.5,2344645813,60354.17
17-DEC-2025,23597.6,23635.05,23449.5,23496.05,2064690210,59233.15
16-DEC-2025,23676.8,23687.35,23542.55,23570.15,2091910465,60755.65
15-DEC-2025,23654,23735.7,23591.3,23725.2,2428579771,56373.6
12-DEC-2025,23620.35,23737.7,23613,23726.2,2602084873,66340.35
11-DEC-2025,23421.9,23562.15,23344.25,23550.85,2437003320,59739.79
10-DEC-2025,23540.15,23628.3,23386.8,23408.8,1992852190,65716.21
09-DEC-2025,23447.05,23556.35,23259.7,23516.25,2622795803,83851.91
08-DEC-2025,23821.75,23833.15,23460.7,23526.2,2450939904,76869.46
05-DEC-2025,23720.7,23848.45,23672.35,23835.25,2307946947,69498.77
04-DEC-2025,23718.1,23820.45,23680.25,23741.1,2641738712,68074.99
03-DEC-2025,23813.45,23845.8,23641.75,23716.3,2804603221,68541.08
02-DEC-2025,23870.6,23925.85,23782.75,23822.25,2795199358,74458.39
01-DEC-2025,24034.95,24035,23871.75,23922.45,2116075701,61417.98
28-NOV-2025,23968.8,23979.7,23907.75,23933.2,1920440245,59132.06
27-NOV-2025,24011.9,24026.25,23879.6,23947.75,1997416096,65385.7
26-NOV-2025,23654.75,23965.35,23654.75,23955.2,1899668415,72747.91
