"Index Name","Date","Open","High","Low","Close"
"NIFTY 500","29 Mar 2019","9647.75","9667.45","9613.00","9663.70"
"NIFTY 500","28 Mar 2019","9518.70","9613.55","9510.80","9601.95"
"NIFTY 500","27 Mar 2019","9552.20","9569.60","9475.40","9501.80"
"NIFTY 500","26 Mar 2019","9431.90","9522.45","9421.60","9512.60"
"NIFTY 500","25 Mar 2019","9446.85","9446.85","9381.90","9411.65"
"NIFTY 500","22 Mar 2019","9572.35","9594.10","9485.45","9500.05"
"NIFTY 500","20 Mar 2019","9587.50","9588.50","9540.90","9553.00"
"NIFTY 500","19 Mar 2019","9549.75","9576.05","9513.45","9570.15"
"NIFTY 500","18 Mar 2019","9536.05","9572.95","9481.65","9516.70"
"NIFTY 500","15 Mar 2019","9473.85","9540.95","9471.40","9499.40"
"NIFTY 500","14 Mar 2019","9481.85","9486.50","9424.50","9447.20"
"NIFTY 500","13 Mar 2019","9461.25","9471.40","9416.65","9450.25"
"NIFTY 500","12 Mar 2019","9399.60","9461.60","9396.85","9440.85"
"NIFTY 500","11 Mar 2019","9240.80","9353.40","9235.60","9345.60"
"NIFTY 500","08 Mar 2019","9213.30","9225.30","9184.55","9211.05"
"NIFTY 500","07 Mar 2019","9251.65","9254.45","9210.90","9225.35"
"NIFTY 500","06 Mar 2019","9211.80","9243.30","9197.90","9230.45"
"NIFTY 500","05 Mar 2019","9042.90","9178.95","9014.70","9173.60"
"NIFTY 500","01 Mar 2019","8995.45","9045.70","8994.00","9037.50"
"NIFTY 500","28 Feb 2019","8990.35","8990.60","8941.60","8955.95"
"NIFTY 500","27 Feb 2019","8991.80","9057.40","8896.20","8946.20"
"NIFTY 500","26 Feb 2019","8899.00","8994.00","8846.10","8953.15"
"NIFTY 500","25 Feb 2019","8941.15","8989.90","8921.90","8983.85"
"NIFTY 500","22 Feb 2019","8899.60","8925.70","8885.90","8919.75"
"NIFTY 500","21 Feb 2019","8857.50","8912.40","8839.75","8901.70"
"NIFTY 500","20 Feb 2019","8781.40","8858.05","8780.00","8845.60"
"NIFTY 500","19 Feb 2019","8753.70","8825.80","8729.70","8742.30"
"NIFTY 500","18 Feb 2019","8836.00","8849.05","8744.95","8754.35"
"NIFTY 500","15 Feb 2019","8887.55","8889.90","8753.65","8827.05"
"NIFTY 500","14 Feb 2019","8878.85","8891.90","8837.75","8869.30"
"NIFTY 500","13 Feb 2019","8955.35","8970.80","8873.40","8887.90"
"NIFTY 500","12 Feb 2019","8961.90","8987.85","8917.65","8925.30"
"NIFTY 500","11 Feb 2019","9026.10","9026.10","8949.85","8967.15"
"NIFTY 500","08 Feb 2019","9112.70","9122.65","9024.75","9036.90"
"NIFTY 500","07 Feb 2019","9125.50","9179.75","9116.15","9145.80"
"NIFTY 500","06 Feb 2019","9056.90","9128.05","9039.30","9118.70"
"NIFTY 500","05 Feb 2019","9039.70","9064.60","9016.70","9033.60"
"NIFTY 500","04 Feb 2019","9045.00","9052.55","8974.65","9042.00"
"NIFTY 500","01 Feb 2019","9024.95","9130.10","8988.25","9056.30"
"NIFTY 500","31 Jan 2019","8916.40","9007.45","8899.55","9003.85"
"NIFTY 500","30 Jan 2019","8913.45","8919.45","8851.05","8884.90"
